	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	25.143245348170005	8.938955783609293	0.005892720297356663	7.6228920122957895|42.66359868404422	61	46	103.05018589836854	128.70373334654798	48.025661573279905	38.87533374506632
GuptaA_2019_in_IND-CRC	-9.258171397242698	5.669218998199917	0.10816903060355272	-20.369840633714535|1.8534978392291386	30	30	41.27270553606579	39.97649253140151	17.68738317657335	17.77871236045091
HeQ_2017_in_CHN-CD	-59.32847772595675	7.0318659099471	6.878359641876171e-13	-73.11093490945306|-45.54602054246044	44	47	91.11654585108087	24.89589800041874	32.334301449772546	19.607820803428513
JieZ_2017_in_CHN-ACVD	-4.553041459690761	4.312240372909772	0.2918902540444763	-13.005032590593913|3.8989496712123914	156	149	81.44596376765458	77.4980191300942	36.197573758293665	34.285043081398584
KarlssonFH_2013_in_SWE-IGT	-20.637078341474876	6.113638352949307	0.001097840172499304	-32.61980951325552|-8.654347169694233	43	49	142.88445582708079	119.7413491847594	26.09984298967837	31.97103574058665
KarlssonFH_2013_in_SWE-T2D	-20.09802105966977	6.992388096049917	0.005029656097017295	-33.803101727927604|-6.392940391411932	43	53	142.88445582708079	120.66785257036304	26.09984298967837	36.570208261283014
MetaCardis_2020_a_in_FRA-IGT	-5.087259284173747	4.424210432010002	0.25105141720660473	-13.758711730913351|3.5841931625658567	176	151	121.01697594869682	103.63640163471456	38.55645002192964	38.661717102877006
MetaCardis_2020_a_in_FRA-T2D	-30.078655907528216	4.206104612099505	3.3974279150120017e-12	-38.322620947243244|-21.834690867813187	176	290	121.01697594869682	87.23932755700935	38.55645002192964	42.49656398518002
MetaCardis_2020_a_in_FRA-CAD	-8.35486781088266	5.214172312221221	0.11018854289365786	-18.57464554283625|1.8649099210709341	176	114	121.01697594869682	115.62503504297081	38.55645002192964	38.15754835343044
MetaCardis_2020_a_in_FRA-HF	-12.55285513760732	8.510368019757495	0.14185704751138628	-29.23317645633201|4.12746618111737	176	20	121.01697594869682	113.18337966094145	38.55645002192964	36.905277685854045
MetaCardis_2020_a_in_DEU-T2D	-14.318893617141752	4.132918203161644	0.0005785339670513505	-22.419413295338572|-6.21837393894493	273	213	93.96286978299601	95.82733732298573	39.674842318514884	36.68470233690383
MetaCardis_2020_a_in_DEU-IGT	3.282389054552842	4.654601750957772	0.48117201298564916	-5.840630377324391|12.405408486430076	273	73	93.96286978299601	93.41068480389602	39.674842318514884	35.731523996417934
NielsenHB_2014_in_ESP-UC	-23.67858467151301	8.220979119676652	0.004694866417451323	-39.79170374607925|-7.565465596946773	59	68	123.21461380300487	100.51529880761994	46.28239160135085	44.582415774815786
NielsenHB_2014_in_ESP-CD	-90.20130862430545	14.208413752257282	2.1779686217826523e-08	-118.04979957872973|-62.352817669881176	59	13	123.21461380300487	37.299092427034495	46.28239160135085	17.7836982768047
QinJ_2012_in_CHN-T2D	0.3006301465184287	4.514066883309495	0.9469408209832049	-8.54694094476818|9.148201237805038	173	169	76.93615771385214	74.47766329906852	35.320658319870184	39.2445864546705
QinN_2014_in_CHN-cirrhosis	-27.452593914908068	4.797443381494256	3.227303282206621e-08	-36.85558294263681|-18.049604887179328	114	123	98.48680125873994	67.22884330789854	39.81861672824634	28.582199384143887
ThomasAM_2018a_in_ITA-CRC	0.02085905667219201	12.306654048331472	0.9986551248406879	-24.100182878057495|24.141900991401876	22	28	86.34147620268874	75.17278843168135	39.77444339569322	49.89368456971706
ThomasAM_2018b_in_ITA-CRC	22.69441324887969	9.148326650161842	0.016320845881837798	4.763693014562481|40.625133483196905	27	31	108.59830842546472	130.8492964330577	33.68860709413263	32.41348326154036
VogtmannE_2016_in_USA-CRC	-23.043694148507008	9.352576086815418	0.015523167707516692	-41.37474327866523|-4.712645018348788	52	49	131.6873292968702	109.69042980575567	48.27445403141826	45.34562162828711
WirbelJ_2018_in_DEU-CRC	-4.689226006356143	7.097050521993217	0.5100526670614787	-18.59944502946285|9.220993016750562	65	60	129.23245952968708	128.16802602796554	34.71801547201513	39.36787127841942
XuQ_2021_in_CHN-T2D	-35.35425045766826	7.005269856782344	8.807839159044107e-07	-49.08457937696165|-21.623921538374866	217	31	92.614975124116	58.836391890021474	36.6882327013465	29.939209550097033
YachidaS_2019_in_JPN-CRC	1.0657372685919684	3.1341856099428784	0.7339710458189668	-5.077266526896073|7.2087410640800105	250	258	66.81195152728938	68.12357148675964	36.078201420687904	34.37890406347275
YuJ_2015_in_CHN-CRC	-10.566328381966244	7.55427822129201	0.16443365558822	-25.372713695698582|4.2400569317660946	54	73	100.89789474506104	89.04053926843672	40.85038875325278	39.586143153689086
ZellerG_2014_in_FRA-CRC	-9.051535148266442	8.957302887190192	0.3145691519839097	-26.60784880715922|8.504778510626334	59	51	127.78591815268659	117.79591444258378	42.60918259555278	46.091587236471455
HanniganGD_2017_in_USA-CRC	-4.583842955785564	7.31702607983144	0.534248447213757	-18.925214072255187|9.757528160684057	25	24	45.886738301321365	36.898699685229104	24.874116433875948	20.881043347819148
SankaranarayananK_2015_in_USA-T2D	2.590924547530286	12.571298332729434	0.8380197061453769	-22.048820184619405|27.230669279679976	18	19	78.5047601334332	75.76231478894053	36.47651152089897	30.84266541541696
