	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	-3.543462579710721	5.554104904206915	0.5249100042298065	-14.429508191956273|7.342583032534832	61	46	1.4938144196878966	-1.3316637416867063	28.326293862562544	26.79458762938629
GuptaA_2019_in_IND-CRC	-11.755139264980873	3.113518766421248	0.0003935545591601229	-17.85763604716652|-5.652642482795227	30	30	13.412077738798228	5.919651729469689	9.736759629785652	9.721321097561122
HeQ_2017_in_CHN-CD	-13.203220096018777	4.732337704774548	0.006490400539704106	-22.47860199737689|-3.927838194660662	44	47	-0.4032719342019054	-15.889055062992325	23.186190054709968	9.967163096950578
JieZ_2017_in_CHN-ACVD	-8.37914244727004	2.546069732288296	0.0011174056944548729	-13.3694391225551|-3.38884577198498	156	149	-6.0439699005882925	-14.762351001556539	20.8719346757287	20.712944754184985
KarlssonFH_2013_in_SWE-IGT	-19.166637194042266	5.485439220007881	0.0007469128271725483	-29.918098065257713|-8.41517632282682	43	49	24.792167468114986	3.9520861246208367	23.29760445518623	28.012988876306707
KarlssonFH_2013_in_SWE-T2D	-14.209745544882054	5.962362389060501	0.019216740748284403	-25.895975827440637|-2.523515262323473	43	53	24.792167468114986	8.222497593556257	23.29760445518623	30.66899153698465
MetaCardis_2020_a_in_FRA-IGT	-2.732887324585106	3.2274506619948236	0.3977558485824232	-9.05869062209496|3.5929159729247475	176	151	23.97713371557543	12.093995322409215	28.89730398159418	26.917241844705856
MetaCardis_2020_a_in_FRA-T2D	-16.441049769489723	2.9045104426413926	2.6562703747072368e-08	-22.13389023706685|-10.748209301912594	176	290	23.97713371557543	4.768310286432495	28.89730398159418	28.155213802411442
MetaCardis_2020_a_in_FRA-CAD	-7.422600403538809	3.9190219200203784	0.059238400464837616	-15.10388336677875|0.25868255970113285	176	114	23.97713371557543	20.320245524538098	28.89730398159418	28.533086386856084
MetaCardis_2020_a_in_FRA-HF	-10.997398618713937	6.428675233643848	0.08876403367521485	-23.597602076655882|1.6028048392280052	176	20	23.97713371557543	17.816759321882863	28.89730398159418	26.42071112573584
MetaCardis_2020_a_in_DEU-T2D	-10.336918429360104	2.961373415533627	0.0005263464941751992	-16.141210323806014|-4.532626534914194	273	213	9.112552752805184	7.020871829070019	27.62747559892009	24.990832114250313
MetaCardis_2020_a_in_DEU-IGT	-2.405839995775791	3.424672393657907	0.4828452749725288	-9.11819788734529|4.306517895793706	273	73	9.112552752805184	4.533698374915314	27.62747559892009	22.644117884074337
NielsenHB_2014_in_ESP-UC	-8.392363393281991	4.9131834431196255	0.0901551649976906	-18.022202941796458|1.237476155232475	59	68	12.310583538213127	4.192362321122211	29.993610568517866	25.343273042076536
NielsenHB_2014_in_ESP-CD	-29.46475224439853	9.229550603020572	0.0021493460990462043	-47.55467142631885|-11.37483306247821	59	13	12.310583538213127	-22.017199761315627	29.993610568517866	9.666196910831275
QinJ_2012_in_CHN-T2D	-4.721618224728486	2.598149996706135	0.07005916700485329	-9.81399221827251|0.3707557688155383	173	169	4.080407913253399	-3.5357976622179854	21.59771779802449	21.63327336453141
QinN_2014_in_CHN-cirrhosis	-17.400379575344235	2.5965785019201477	1.550548207387056e-10	-22.489673439107726|-12.311085711580745	114	123	15.517462166602677	-2.818736148430584	22.35275637370829	13.715432293005138
ThomasAM_2018a_in_ITA-CRC	-1.4108666335697564	6.170350565935268	0.8201748892538991	-13.504753742802883|10.683020475663369	22	28	2.7284069508320075	-1.9044231366373043	20.08152940132022	20.11899523560312
ThomasAM_2018b_in_ITA-CRC	6.137577522487027	8.529859989035558	0.4749691391890821	-10.580948056022663|22.85610310099672	27	31	1.3447649990776083	6.924399317728329	28.12883797647792	32.52515712160141
VogtmannE_2016_in_USA-CRC	-20.361918986570846	6.485494560670145	0.002248282243096055	-33.073488325484334|-7.650349647657361	52	49	3.9131201322019153	-15.476283245631542	33.8145189379775	32.375978229652645
WirbelJ_2018_in_DEU-CRC	-20.81277007355083	5.189884655120938	0.0001058181202522016	-30.98494399758787|-10.640596149513792	65	60	22.09568829014339	3.5193853892643516	28.834126629544045	26.224834630625935
XuQ_2021_in_CHN-T2D	-19.11398949425402	3.978205116687366	2.7148122574368053e-06	-26.911271522961258|-11.316707465546784	217	31	5.1193511698909635	-11.778829123182877	21.37237496814351	18.82666384543329
YachidaS_2019_in_JPN-CRC	-2.9724157835208773	1.7738492969268331	0.09442101154574614	-6.44916040549747|0.5043288384557156	250	258	-12.984096945421255	-15.667585708651254	20.09862641652614	19.88281670037419
YuJ_2015_in_CHN-CRC	-17.019525133472303	4.158258518209355	7.685791242947521e-05	-25.16971182916264|-8.869338437781966	54	73	4.758752453085008	-10.987414613811533	23.885652189587255	20.961522681872328
ZellerG_2014_in_FRA-CRC	-5.054380258598786	6.197923870264681	0.41663465024554835	-17.20231104431756|7.093550527119988	59	51	11.334548169779895	4.02320143418718	33.10149345739729	27.4082393719442
HanniganGD_2017_in_USA-CRC	-6.9495175131192095	4.778344365175365	0.15293847689835366	-16.315072468862923|2.4160374426245053	25	24	-0.6265233973572628	-7.244267296208458	15.882179359060606	12.918112398375833
SankaranarayananK_2015_in_USA-T2D	-1.555158385813437	9.079097041447486	0.8650743300604335	-19.35018858705051|16.239871815423633	18	19	-22.101590844244697	-28.106949369487378	26.147664171081107	24.563065897589656
