	effect	std_err	p-val	# SGB. used	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
XieH_2016_in_GBR-migraine	4.5055559848918705	1.327209931698803	0.0008135551666578227	78	1.9042245187622164|7.1068874510215245	177	49	29.666666666666668	34.16326530612245	8.78408079024589	7.066295218379015
XieH_2016_in_GBR-asthma	4.528340614336251	1.888274335606537	0.017416641585299784	74	0.827322916547439|8.229358312125063	177	23	29.666666666666668	34.0	8.78408079024589	9.699843118408623
XuQ_2021_in_CHN-T2D	2.1740413144634574	1.7356022413986094	0.21154999453650128	79	-1.2277390786778168|5.575821707604732	217	31	33.05069124423963	34.70967741935484	8.707865610200646	10.895970099631826
YachidaS_2019_in_JPN-CRC	2.4110134961761087	0.9172062525454304	0.008834628855782995	92	0.6132892411870652|4.2087377511651525	250	258	33.484	36.04651162790697	10.063485678431704	10.407481257529787
YeZ_2018_in_CHN-BD	2.4204937975545815	2.1215112826819795	0.2584329701791414	32	-1.737668316502098|6.578655911611261	45	20	21.555555555555557	23.9	7.331986408290595	7.588807547961669
YuJ_2015_in_CHN-CRC	6.733018748180337	1.665011584433141	9.251900524506972e-05	79	3.4695960426913803|9.996441453669293	54	73	34.24074074074074	40.342465753424655	9.010148979705516	8.82744657860597
ZellerG_2014_in_FRA-CRC	-1.6613395742053143	2.329425292460145	0.47730585740059817	73	-6.227013147427199|2.90433399901657	59	51	34.813559322033896	34.05882352941177	13.174802061705709	9.225735030403328
ZhangX_2015_in_CHN-RA	5.411167434632758	1.435412478175984	0.00021866770952220957	78	2.5977589774078296|8.224575891857686	93	100	32.02150537634409	36.6	8.53201244979867	9.958915603618701
ZhouC_2020_in_CHN-AS	-11.162885407459559	2.306055779372271	5.002966214358036e-06	59	-15.68275473502921|-6.643016079889907	22	78	40.04545454545455	28.858974358974358	10.490156739999268	8.696778594538294
ZhuF_2020_in_CHN-schizophrenia	2.302492388501828	1.24996712235347	0.06729721310426146	63	-0.1474431713109734|4.7524279483146294	81	86	25.82716049382716	28.523255813953487	6.986389101527729	8.610062723194872
iMSMS_2022_in_USA-MS	0.45241036560323583	0.5537823125860023	0.41431352634948726	53	-0.6330029670653285|1.5378236982718003	277	277	11.505415162454874	11.711191335740072	5.774099356921114	6.309952973117741
iMSMS_2022_in_ARG-MS	0.5527637930573767	0.5597467060497461	0.3243288726699666	23	-0.5443397508001256|1.649867336914879	129	129	9.031007751937985	9.75968992248062	3.7165833782779374	4.783328920612366
iMSMS_2022_in_GBR-MS	1.3798477428621014	0.5492249418231154	0.01260610031022821	26	0.3033668568887953|2.456328628835408	131	131	8.98473282442748	10.305343511450381	4.226388805256488	4.045340604595703
iMSMS_2022_in_ESP-MS	1.5555893222927921	0.696815683745432	0.0286545745985712	14	0.18983058215174542|2.9213480624338386	39	39	7.512820512820513	9.0	2.296840582211148	3.1214723679042464
HanniganGD_2017_in_USA-CRC	4.353421913064018	2.2932495375406323	0.0642193831797384	18	-0.14134718051562079|8.848191006643656	25	24	16.0	18.125	6.945502141674136	7.529456044983152
SankaranarayananK_2015_in_USA-T2D	4.988485686582005	3.948831171852064	0.2156149423841631	45	-2.7512234102480395|12.72819478341205	18	19	39.44444444444444	45.05263157894737	10.646972559904436	11.306605820495177
