	effect	std_err	p-val	# SGB. used	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
BedarfJR_2017_in_DEU-PD	-2.437016760867153	2.101969792870861	0.25300230418060005	17	-6.55687755489404|1.6828440331597339	19	26	18.0	15.576923076923077	7.122979861354597	5.5551298324720815
FanY_2023_in_DNK-anorexia	0.905843946330692	2.1524682699677617	0.6745413852665914	52	-3.3129938628061213|5.124681755467505	68	71	21.647058823529413	24.661971830985916	5.590866253732782	8.610415674269944
FengQ_2015_in_AUT-CRC	4.787505687441471	1.9927864526398362	0.018095265001302402	74	0.8816442402673923|8.69336713461555	61	46	33.83606557377049	38.630434782608695	9.591971246263341	10.612459239747963
GuptaA_2019_in_IND-CRC	4.701123168552124	1.6100949453197104	0.005068698648808972	13	1.5453370757254916|7.856909261378757	30	30	7.033333333333333	12.9	2.7746871695542343	6.160898202913814
HeQ_2017_in_CHN-CD	-12.323333725054663	2.692001581952154	1.572777157552909e-05	62	-17.599656825680885|-7.047010624428442	44	47	38.88636363636363	25.53191489361702	10.095489337257392	10.078101526365748
JieZ_2017_in_CHN-ACVD	5.939292518251146	1.2945957475074883	6.591314586711548e-06	89	3.401884853136469|8.476700183365823	156	149	37.83974358974359	44.604026845637584	10.35491757007132	10.962914171889647
KarlssonFH_2013_in_SWE-IGT	7.1313926516839246	2.1654441624044733	0.0014272892625377058	57	2.8871220933711568|11.375663209996691	43	49	24.27906976744186	32.10204081632653	8.336876838105331	11.676323327456878
KarlssonFH_2013_in_SWE-T2D	4.559060337244205	2.1568057657055384	0.037238018221048844	57	0.33172103646134943|8.78639963802706	43	53	24.27906976744186	30.11320754716981	8.336876838105331	11.329807701008425
MetaCardis_2020_a_in_FRA-IGT	0.28072271262829873	1.0512259935993709	0.7896068749893005	81	-1.7796802348264682|2.3411256600830654	176	151	23.744318181818183	26.13907284768212	8.368465672806584	9.105008981014905
MetaCardis_2020_a_in_FRA-T2D	2.6934043488029498	0.9031324408394557	0.00301260159828213	86	0.9232647647576167|4.463543932848283	176	290	23.744318181818183	27.458620689655174	8.368465672806584	8.877325523057639
MetaCardis_2020_a_in_FRA-CAD	0.8200492470399872	1.2208300712715414	0.5023095893081907	76	-1.572777692652234|3.2128761867322084	176	114	23.744318181818183	24.32456140350877	8.368465672806584	8.907414232896382
MetaCardis_2020_a_in_FRA-HF	0.34727923635836133	1.9847421334344642	0.8612850245127168	65	-3.5428153451731883|4.237373817889911	176	20	23.744318181818183	23.3	8.368465672806584	8.031811750782012
MetaCardis_2020_a_in_DEU-T2D	2.04459233876406	1.0007329228755266	0.041587506373584875	87	0.08315580992802807|4.006028867600092	273	213	26.124542124542124	26.84037558685446	9.342440396166188	7.717601603271695
MetaCardis_2020_a_in_DEU-IGT	0.874053368784826	1.22764141988709	0.47696536902647246	82	-1.5321238141938702|3.2802305517635224	273	73	26.124542124542124	27.45205479452055	9.342440396166188	8.024006951557395
NagySzakalD_2017_in_USA-ME/CFS	4.755474768927572	2.2820217787555284	0.039826794155637495	77	0.28271208256673663|9.228237455288408	50	50	35.9	40.9	12.471166745737946	9.588013350011565
NielsenHB_2014_in_ESP-UC	-1.620512459072657	2.608277028793361	0.5355639409529914	77	-6.732735435507645|3.491710517362331	59	68	30.89830508474576	29.191176470588236	13.914624565121375	15.279029605139865
NielsenHB_2014_in_ESP-CD	1.8499961642125595	4.464364899994993	0.6799109448730236	57	-6.900159039777627|10.600151368202745	59	13	30.89830508474576	34.53846153846154	13.914624565121375	10.558375345706763
QinJ_2012_in_CHN-T2D	2.1930261492111	1.1262568704755107	0.05234337861291776	84	-0.014437316920900667|4.400489615343101	173	169	30.583815028901736	33.88165680473373	8.948805804684083	9.669580538345107
QinN_2014_in_CHN-cirrhosis	3.6765484017998014	1.143186808057704	0.0014848170639962799	73	1.4359022580067018|5.917194545592901	114	123	28.69298245614035	31.422764227642276	8.406479532033563	7.922396092011579
RubelMA_2020_in_CMR-STH	-4.031795269457367	0.742617073203346	2.1604154613374745e-07	16	-5.487324732935925|-2.5762658059788093	82	77	10.439024390243903	6.64935064935065	5.2151223846818775	3.515332774206258
ThomasAM_2018a_in_ITA-CRC	0.6634767022741328	2.7789322599456945	0.8123815750131644	31	-4.783230527219429|6.110183931767693	22	28	24.863636363636363	25.464285714285715	7.9675218831627745	9.462263934995166
ThomasAM_2018b_in_ITA-CRC	0.8979642529097314	3.037950629535553	0.7687041019690858	55	-5.056418980979952|6.852347486799415	27	31	33.0	34.096774193548384	10.519822558706334	11.072648191885694
VogtmannE_2016_in_USA-CRC	5.354063736238602	2.3076208083766683	0.02244994383842679	85	0.8311269518203321|9.877000520656871	52	49	40.34615384615385	45.326530612244895	11.497298370594946	12.204695909733388
WirbelJ_2018_in_DEU-CRC	9.13527298219125	1.7322218064684922	6.000973187739711e-07	68	5.740118241513005|12.530427722869494	65	60	26.876923076923077	35.75	8.96061071460524	9.508986977240706
