	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	28.686707927880743	6.056417228675187	7.043691321361675e-06	16.81613015967738|40.55728569608411	61	46	101.55637147868065	130.03539708823465	32.44024052576587	28.240762511074955
GuptaA_2019_in_IND-CRC	2.4969678677381757	3.7615098248803163	0.5095783303071757	-4.875591389027244|9.869527124503595	30	30	27.86062779726755	34.05684080193183	9.485945648886368	12.91970871148951
HeQ_2017_in_CHN-CD	-46.12525762993798	5.406893840825021	4.4359211306004766e-13	-56.72276955795502|-35.527745701920935	44	47	91.51981778528275	40.78495306341105	20.017587552115174	20.220469118617412
JieZ_2017_in_CHN-ACVD	3.8261009875792853	3.1562915115576624	0.22638425424699704	-2.3602303750737326|10.012432350232302	156	149	87.48993366824286	92.26037013165076	25.63953512314145	26.444310397925175
KarlssonFH_2013_in_SWE-IGT	-1.470441147432635	4.095305845725714	0.7204138150115469	-9.497240605055033|6.556358310189764	43	49	118.09228835896573	115.78926306013855	17.80027816834689	20.209473290129683
KarlssonFH_2013_in_SWE-T2D	-5.888275514787709	4.4198127316180855	0.18607025222221235	-14.551108468759157|2.774557439183739	43	53	118.09228835896573	112.44535497680678	17.80027816834689	22.049716541664697
MetaCardis_2020_a_in_FRA-IGT	-2.3543719595886365	2.593025105133083	0.3645765639520754	-7.436701165649479|2.727957246472206	176	151	97.03984223312136	91.5424063123053	20.65296478565964	22.40634879512969
MetaCardis_2020_a_in_FRA-T2D	-13.637606138038484	2.34974247194435	1.2066860553508908e-08	-18.24310138304941|-9.032110893027557	176	290	97.03984223312136	82.47101727057685	20.65296478565964	23.516601483141677
MetaCardis_2020_a_in_FRA-CAD	-0.9322674073438273	2.9959757895170362	0.7558964274872968	-6.804379954797218|4.939845140109563	176	114	97.03984223312136	95.30478951843271	20.65296478565964	21.651891207113675
MetaCardis_2020_a_in_FRA-HF	-1.5554565188933807	4.846997589920086	0.7486284313964245	-11.05557179513675|7.944658757349988	176	20	97.03984223312136	95.36662033905856	20.65296478565964	19.239314362128255
MetaCardis_2020_a_in_DEU-T2D	-3.981975187781657	2.4156441191588454	0.09992126146291559	-8.716637661332994|0.7526872857696798	273	213	84.8503170301908	88.80646549391568	21.996143734851746	21.50105960354531
MetaCardis_2020_a_in_DEU-IGT	5.68822905032861	2.7354902987734864	0.038325734918911517	0.32666806473257726|11.049790035924644	273	73	84.8503170301908	88.8769864289807	21.996143734851746	22.007758364737885
NielsenHB_2014_in_ESP-UC	-15.286221278231036	6.407586426898211	0.01858791929305847	-27.84509067495153|-2.7273518815105415	59	68	110.90403026479174	96.32293648649771	33.16401206746969	39.23851251021175
NielsenHB_2014_in_ESP-CD	-60.73655637990689	10.136822855894959	9.171621157213483e-08	-80.60472917746101|-40.86838358235276	59	13	110.90403026479174	59.31629218835012	33.16401206746969	19.875553793941446
QinJ_2012_in_CHN-T2D	5.0222483712469	2.8924608917003094	0.08342050139276225	-0.6469749764857058|10.691471718979507	173	169	72.85574980059873	78.0134609612865	20.889636537217356	26.40823615595061
QinN_2014_in_CHN-cirrhosis	-10.052214339563843	3.0595624632476874	0.001175583717516339	-16.04895676752931|-4.055471911598376	114	123	82.96933909213725	70.0475794563291	22.898979349678804	21.336326223386575
ThomasAM_2018a_in_ITA-CRC	1.4317256902419455	8.649456733707016	0.8692699764346802	-15.521209507823807|18.3846608883077	22	28	83.61306925185671	77.07721156831865	26.68953121558217	37.37016920126613
ThomasAM_2018b_in_ITA-CRC	16.556835726392652	5.377299215807955	0.0032868737519790906	6.01732926340906|27.096342189376244	27	31	107.25354342638714	123.92489711532939	20.15259252597975	17.722128936731128
VogtmannE_2016_in_USA-CRC	-2.6817751619361596	5.52878097251491	0.6287407973805906	-13.518185868065384|8.154635544193063	52	49	127.77420916466826	125.16671305138718	26.293620928263984	28.12107660909571
WirbelJ_2018_in_DEU-CRC	16.123544067194658	5.03201571937835	0.0017351722338902033	6.260793257213091|25.986294877176224	65	60	107.13677123954368	124.64864063870115	22.162391304316834	29.615027961359125
XuQ_2021_in_CHN-T2D	-16.24026096341425	4.690750283542037	0.0006329351967323103	-25.434131519156644|-7.046390407671858	217	31	87.49562395422502	70.61522101320435	24.28027566298663	23.163280936237378
YachidaS_2019_in_JPN-CRC	4.0381530521128495	2.4430273790351067	0.09896910414099955	-0.7501806107959599|8.826486715021659	250	258	79.79604847271062	83.79115719541089	27.134552551383898	27.380864852596076
YuJ_2015_in_CHN-CRC	6.453196751506077	5.537792130495715	0.24617035108073862	-4.400875824265524|17.30726932727768	54	73	96.139142291976	100.02795388224823	27.342610596085027	31.212992948487752
ZellerG_2014_in_FRA-CRC	-3.9971548896676206	5.999903006284383	0.5067422814339311	-15.756964781985012|7.76265500264977	59	51	116.45136998290663	113.7727130083966	28.253617310208462	31.370335437523632
HanniganGD_2017_in_USA-CRC	2.3656745573336493	4.970962134211648	0.6365010189964908	-7.377411225721181|12.10876034038848	25	24	46.51326169867863	44.14296698143756	15.547351614685638	16.055346190168077
SankaranarayananK_2015_in_USA-T2D	4.146082933343711	8.164610589303615	0.6150681363500945	-11.856553821691374|20.148719688378794	18	19	100.6063509776779	103.86926415842788	23.064578294317567	21.138453732032943
